time_stamp	hand_count	l_hand_p(x,y,z)	r_hand_p(x,y,z)
2023-10-14 01:47:19.599	2	(-86.305702,154.110519,35.997341)	(42.410934,133.681488,8.486759)
2023-10-14 01:47:19.610	2	(-87.650162,150.425644,33.436062)	(44.211323,137.693497,8.966846)
2023-10-14 01:47:19.621	2	(-88.871948,147.013962,31.651859)	(45.867134,141.100708,8.982604)
2023-10-14 01:47:19.632	2	(-90.349442,144.401871,30.340504)	(48.533764,144.673752,9.404931)
2023-10-14 01:47:19.644	2	(-91.999985,142.860016,29.274357)	(50.472878,147.112686,9.635902)
2023-10-14 01:47:19.655	2	(-93.565956,141.828888,28.386263)	(52.355419,149.255722,9.501457)
2023-10-14 01:47:19.666	2	(-94.979408,141.199188,27.672024)	(54.012779,151.223755,8.917408)
2023-10-14 01:47:19.677	2	(-95.923035,140.829468,27.249945)	(55.751190,152.607315,8.352780)
2023-10-14 01:47:19.688	2	(-97.324249,140.631210,27.060566)	(57.149910,153.679230,7.818034)
2023-10-14 01:47:19.699	2	(-98.631721,140.802948,27.159727)	(58.366650,155.238785,6.834018)
2023-10-14 01:47:19.710	2	(-99.802124,141.237183,27.413473)	(59.712555,156.266205,5.886781)
2023-10-14 01:47:19.722	2	(-101.107796,142.001907,27.689117)	(61.063076,157.459183,5.221181)
2023-10-14 01:47:19.733	2	(-102.375305,142.835159,28.017094)	(62.384399,159.195633,4.599257)
2023-10-14 01:47:19.744	2	(-103.844490,143.591248,28.459997)	(63.034119,160.401230,3.722948)
2023-10-14 01:47:19.756	2	(-105.536530,143.910065,28.520544)	(63.532154,161.139542,3.008868)
2023-10-14 01:47:19.767	2	(-107.157486,144.000336,28.701241)	(64.025970,162.393372,2.453152)
2023-10-14 01:47:19.778	2	(-108.848518,143.871231,29.007595)	(64.739098,163.970673,2.019754)
2023-10-14 01:47:19.789	2	(-110.506371,143.501694,29.196287)	(64.957703,165.389938,1.471299)
2023-10-14 01:47:19.800	2	(-112.153091,142.667374,29.547329)	(65.286850,167.174500,1.123191)
2023-10-14 01:47:19.811	2	(-114.191238,142.204651,29.481134)	(65.745621,168.852036,0.881338)
2023-10-14 01:47:19.822	2	(-115.554947,140.963608,29.212753)	(66.160202,170.538818,0.711471)
2023-10-14 01:47:19.833	2	(-116.998459,139.401962,29.184095)	(66.202126,171.815811,0.680979)
2023-10-14 01:47:19.845	2	(-119.065628,138.043259,29.601490)	(66.385063,173.459763,0.962488)
2023-10-14 01:47:19.856	2	(-121.042900,136.656647,29.517475)	(66.219879,175.179001,1.386170)
2023-10-14 01:47:19.867	2	(-122.899162,135.028091,29.510622)	(66.056145,176.846786,2.052997)
2023-10-14 01:47:19.878	2	(-125.221191,133.745758,29.411001)	(65.991753,178.750595,2.855848)
2023-10-14 01:47:19.889	2	(-127.212852,132.146912,29.445866)	(66.720871,180.980209,4.063282)
2023-10-14 01:47:19.900	2	(-129.667923,131.140610,29.716534)	(67.397537,182.957809,5.211341)
2023-10-14 01:47:19.911	2	(-132.649429,130.483429,29.913095)	(68.035210,185.305740,6.706168)
2023-10-14 01:47:19.922	2	(-135.541260,129.977844,30.068644)	(68.968109,188.306702,8.534491)
2023-10-14 01:47:19.934	2	(-138.623352,129.708908,30.876604)	(70.103554,190.801315,10.353107)
2023-10-14 01:47:19.945	2	(-141.158401,129.444550,31.860867)	(70.437820,193.512253,12.364992)
2023-10-14 01:47:19.956	2	(-143.224518,129.686264,32.624340)	(72.173691,195.933731,14.402695)
2023-10-14 01:47:19.967	2	(-147.655106,130.762344,34.521336)	(74.269379,198.781403,16.725710)
2023-10-14 01:47:19.978	2	(-152.149414,130.745911,36.939690)	(76.172203,201.362137,19.204515)
2023-10-14 01:47:19.989	2	(-156.051025,129.624832,37.915234)	(77.344955,203.512039,20.889465)
2023-10-14 01:47:20.001	2	(-160.961060,130.163193,38.718433)	(78.649376,206.409363,22.780640)
2023-10-14 01:47:20.012	2	(-165.200104,130.580643,40.398357)	(79.696198,209.223694,24.651033)
2023-10-14 01:47:20.023	2	(-168.757431,132.054550,42.932629)	(81.436256,213.321457,27.180151)
2023-10-14 01:47:20.034	2	(-172.357147,133.837631,45.609299)	(83.606728,217.012756,29.652199)
2023-10-14 01:47:20.046	2	(-175.990311,135.660004,47.543583)	(87.363380,222.037186,31.938503)
2023-10-14 01:47:20.057	2	(-180.093552,138.341827,49.432835)	(92.832962,226.214691,34.304951)
2023-10-14 01:47:20.068	2	(-184.346985,142.071899,51.152184)	(98.899353,229.741943,35.814018)
2023-10-14 01:47:20.079	2	(-189.696686,146.801605,52.927944)	(104.661880,231.602890,37.518639)
2023-10-14 01:47:20.090	2	(-193.823273,151.772827,55.873177)	(110.439964,234.148834,38.415028)
2023-10-14 01:47:20.101	2	(-199.980896,158.671539,60.255974)	(115.884361,235.207138,39.264572)
2023-10-14 01:47:20.112	2	(-205.076279,164.225388,64.996674)	(121.627197,236.419098,40.489315)
2023-10-14 01:47:20.124	2	(-214.447525,172.801376,70.926125)	(126.562286,237.566315,41.413822)
